CTUID,pop,land_kmsq,occup_dwel_struc,single_det,apart_fievormore,other_att,nbedrooms,no_bed,one_bed,two_bed,three_bed,four_bed_more,edu_total,no_edu,edu_dip,edu_postsec,pop_dens,jour_work,jour_lessfifteenmin,jour_fiftotwnine,journ_thirtytofourfour,journ_fourfivetofifnine,journ_overanhour,income_total,income_after_tax,income_med_after_tax,house_size,one_per,two_per,three_per,four_per,five_or_more_per,num_per,labour_total,lab_inlab,lab_emp,lab_unemp,lab_not_inlab,emp_rate,unemp_rate,work_status,work_home,work_outCA,work_nofixadd,work_usual
5370000,747545,1371.89,293345,165060,45395,82465,293345,1360,37390,61600,118355,74635,612635,109090,170595,332950,544.9,342520,78050,125305,66410,30720,42030,612630,588315,32073,293345,79480,96055,46910,45190,25710,734880,612630,395005,369075,25935,217625,60.2,6.6,369075,25040,1515,39410,303100
5370001.01,2193,5.52,770,475,0,290,760,0,30,105,340,285,1735,355,535,845,397.6,955,215,380,165,80,115,1785,1715,30240,765,140,235,150,135,110,2190,1740,1070,1025,45,670,58.9,4.2,1025,70,0,130,825
5370001.02,5302,1.29,1760,970,0,790,1760,0,70,105,1185,400,4235,840,1265,2135,4102.4,2640,525,1020,540,235,315,4265,4025,31040,1760,270,450,385,415,240,5295,4235,2970,2765,205,1265,65.3,6.9,2765,115,10,280,2365
5370001.04,6305,1.7,1895,1320,0,580,1900,0,0,100,1040,755,4990,935,1260,2795,3702.5,2910,660,1265,510,205,270,4985,4695,31163,1895,165,525,420,455,340,6180,4985,3235,3060,175,1755,61.4,5.4,3055,140,10,325,2580
5370001.05,5344,1.55,1615,1085,55,475,1605,0,40,235,670,660,4020,770,1130,2125,3443.7,2250,530,920,390,165,245,4020,3800,29594,1620,240,400,320,375,285,5130,4025,2595,2370,225,1425,58.9,8.7,2370,105,10,225,2030
5370001.06,5191,1.48,1610,1230,0,380,1610,0,0,40,910,655,4265,685,1270,2310,3511,2545,655,995,495,170,220,4270,4055,31543,1610,170,475,345,365,255,5050,4265,2865,2665,200,1405,62.5,7,2665,95,20,270,2280
5370001.07,3725,0.76,1265,425,0,850,1275,0,15,95,905,250,2910,695,940,1280,4922.7,1585,280,695,305,105,200,2995,2835,27768,1265,200,390,270,230,180,3725,2910,1720,1630,95,1185,56,5.5,1635,50,0,180,1405
5370001.08,6556,1.64,2050,1540,65,450,2050,0,30,150,1200,665,5335,1120,1600,2610,4001.5,3240,700,1400,430,275,430,5335,5045,30768,2050,220,550,455,500,330,6525,5335,3640,3410,235,1695,63.9,6.5,3405,155,15,285,2950
5370001.09,4566,1.97,1390,880,0,505,1390,0,10,95,810,470,3565,865,900,1795,2318,2155,415,895,415,135,285,3530,3300,30702,1390,155,335,300,350,255,4565,3565,2385,2235,150,1175,62.7,6.3,2235,75,0,185,1970
5370002.01,5122,1.48,1615,1180,0,435,1625,0,25,95,755,755,4125,735,1130,2255,3450.3,2520,615,1035,335,225,305,4125,3890,33056,1615,175,440,340,400,265,5110,4120,2800,2650,150,1320,64.3,5.4,2645,115,10,255,2265
5370002.03,3069,0.77,1085,550,0,535,1050,0,10,45,660,340,2485,510,755,1225,3979,1345,290,580,175,140,160,2545,2425,29952,1080,170,350,240,200,130,3070,2490,1595,1425,175,890,57.2,11,1425,75,0,155,1190
5370002.04,4629,0.98,1540,1005,65,470,1570,0,45,100,860,565,3920,740,1150,2035,4706.2,2240,430,950,415,130,315,3870,3685,30592,1540,200,475,345,295,230,4630,3925,2570,2345,225,1355,59.7,8.8,2345,105,0,265,1970
5370002.05,7625,1.96,2305,1710,0,500,2330,0,110,135,1095,990,5990,975,1630,3380,3882.4,3600,760,1525,545,320,440,6010,5690,33778,2310,300,570,445,550,440,7445,5985,4080,3835,250,1905,64.1,6.1,3830,210,30,455,3140
5370002.06,3544,2.67,1405,655,0,755,1385,0,175,385,415,415,2940,575,775,1590,1329.4,1365,340,555,270,65,140,2920,2830,31795,1405,460,425,165,215,145,3440,2940,1590,1465,125,1350,49.8,7.9,1465,100,0,165,1200
